epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7764,2.80339,11.8707,2.37159,0.00229,0.6133,0.09428,0.05597,1.98929,9.71784,1.99478,0.000545744,0.000545744,0.000545744
2,61.9237,2.54641,8.73432,2.19815,0.42909,0.29428,0.31762,0.18418,2.66163,7.19982,2.43168,0.00106506,0.00106506,0.00106506
3,81.5124,2.62082,7.05516,2.27311,0.39639,0.48362,0.3588,0.23521,2.43874,5.44229,2.36561,0.00154771,0.00154771,0.00154771
4,99.3468,2.56371,5.61545,2.24568,0.38209,0.56504,0.3889,0.24902,2.541,4.93872,2.37639,0.00150197,0.00150197,0.00150197
5,118.473,2.54263,4.85517,2.2932,0.39566,0.6508,0.40607,0.27043,2.30732,2.97369,2.22564,0.00144696,0.00144696,0.00144696
6,136.352,2.49814,4.03519,2.21985,0.3734,0.62879,0.38031,0.25019,2.40625,3.04196,2.20881,0.00139195,0.00139195,0.00139195
7,154.849,2.447,3.60958,2.19328,0.42097,0.71654,0.45199,0.3003,2.37715,2.84697,2.20919,0.00133693,0.00133693,0.00133693
8,173.265,2.45364,3.36604,2.17316,0.44873,0.65502,0.44546,0.30755,2.24781,2.74965,2.1285,0.00128192,0.00128192,0.00128192
9,191.611,2.4085,3.15432,2.19538,0.43138,0.70197,0.44503,0.31443,2.11948,2.62442,2.09881,0.00122691,0.00122691,0.00122691
10,210.266,2.36201,2.98493,2.16498,0.43615,0.66717,0.44494,0.31412,2.1911,2.60633,2.09041,0.0011719,0.0011719,0.0011719
11,228.122,2.26297,2.90641,2.13881,0.45589,0.72272,0.4635,0.33201,2.10314,2.51202,2.07055,0.00111689,0.00111689,0.00111689
12,247.017,2.21808,2.76807,2.12036,0.41404,0.67174,0.41392,0.2889,2.27284,2.78449,2.17102,0.00106188,0.00106188,0.00106188
13,265.241,2.23449,2.72123,2.10267,0.4059,0.7422,0.43157,0.31353,2.07117,2.71618,2.05246,0.00100687,0.00100687,0.00100687
14,284.331,2.26509,2.7299,2.10769,0.42134,0.75194,0.41807,0.2995,2.10392,2.62273,2.0858,0.000951857,0.000951857,0.000951857
15,302.505,2.21914,2.61521,2.11529,0.4108,0.75348,0.452,0.32323,2.21387,2.66072,2.10477,0.000896846,0.000896846,0.000896846
16,320.923,2.17472,2.53301,2.09352,0.42449,0.77519,0.46464,0.3422,2.00535,2.45125,2.01307,0.000841835,0.000841835,0.000841835
17,339.776,2.10737,2.44208,2.06541,0.42604,0.74943,0.45327,0.32906,2.08098,2.83974,2.05698,0.000786824,0.000786824,0.000786824
18,357.967,2.07625,2.36328,2.07407,0.42933,0.77918,0.45072,0.32158,2.05389,2.6462,2.04707,0.000731813,0.000731813,0.000731813
19,376.9,2.08661,2.32542,2.08741,0.41895,0.71869,0.43505,0.30059,2.09266,2.46004,2.07033,0.000676802,0.000676802,0.000676802
20,394.898,2.04214,2.26264,2.02096,0.44352,0.75093,0.42344,0.30197,2.10836,2.51987,2.07298,0.000621791,0.000621791,0.000621791
21,415.777,1.89434,2.22414,2.02517,0.40062,0.77443,0.44101,0.31943,2.03589,2.72767,2.06671,0.00056678,0.00056678,0.00056678
22,433.211,1.85207,2.1209,1.99222,0.38103,0.77694,0.41772,0.30166,2.02427,2.72339,2.07331,0.000511769,0.000511769,0.000511769
23,450.609,1.86209,2.10535,2.01971,0.40843,0.83389,0.42723,0.29723,2.03041,2.65356,2.03348,0.000456758,0.000456758,0.000456758
24,469.849,1.80013,2.09828,1.97257,0.4197,0.81137,0.42379,0.31051,1.93784,2.49698,2.02086,0.000401747,0.000401747,0.000401747
25,487.505,1.76245,1.96941,1.96643,0.42442,0.81441,0.45527,0.3318,1.97116,2.57624,2.02003,0.000346736,0.000346736,0.000346736
26,506.061,1.73185,1.9148,1.94118,0.42169,0.80432,0.41376,0.29722,1.97278,2.58606,2.02585,0.000291725,0.000291725,0.000291725
27,523.394,1.71697,1.86076,1.91994,0.4154,0.73837,0.40878,0.28762,1.96475,2.75365,2.01851,0.000236714,0.000236714,0.000236714
28,540.766,1.65372,1.78334,1.9101,0.39004,0.81191,0.43746,0.3217,1.92846,2.60079,1.99992,0.000181703,0.000181703,0.000181703
29,559.264,1.65433,1.76606,1.91426,0.40489,0.80766,0.42265,0.3133,1.92862,2.61064,2.0073,0.000126692,0.000126692,0.000126692
30,576.578,1.61045,1.67896,1.89094,0.3896,0.77674,0.4125,0.30472,1.90754,2.74802,2.00761,7.1681e-05,7.1681e-05,7.1681e-05
