epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7798,1.32659,3.4576,1.25313,0.00335,0.94279,0.10955,0.07556,1.20682,3.46622,1.14093,0.000545744,0.000545744,0.000545744
2,46.2367,1.2328,2.32576,1.16265,0.24157,0.05379,0.21522,0.14208,1.39726,3.21989,1.33768,0.00106506,0.00106506,0.00106506
3,68.079,1.23899,1.97851,1.1446,0.15259,0.38498,0.15292,0.10426,1.2657,3.92618,1.31751,0.00154771,0.00154771,0.00154771
4,89.9179,1.20968,1.78118,1.1368,0.46135,0.743,0.45745,0.30614,1.21394,1.50282,1.1559,0.00150197,0.00150197,0.00150197
5,111.664,1.17617,1.56213,1.14477,0.43387,0.64752,0.41247,0.28118,1.14794,1.57358,1.19061,0.00144696,0.00144696,0.00144696
6,132.47,1.17072,1.45395,1.1301,0.44956,0.8009,0.48948,0.34469,1.04511,1.30463,1.05309,0.00139195,0.00139195,0.00139195
7,154.544,1.11204,1.35325,1.09252,0.45061,0.81438,0.47775,0.34367,1.02943,1.30661,1.06455,0.00133693,0.00133693,0.00133693
8,176.283,1.10298,1.3217,1.08672,0.45368,0.81964,0.48667,0.34646,1.06691,1.25187,1.06425,0.00128192,0.00128192,0.00128192
9,197.302,1.07685,1.28538,1.08766,0.45014,0.84043,0.50241,0.36315,1.02233,1.25579,1.0673,0.00122691,0.00122691,0.00122691
10,219.009,1.08231,1.28067,1.0835,0.46436,0.81988,0.48717,0.33688,1.11341,1.21409,1.09062,0.0011719,0.0011719,0.0011719
11,240.947,1.05985,1.23544,1.0768,0.48092,0.76493,0.49701,0.35796,1.03906,1.15939,1.03836,0.00111689,0.00111689,0.00111689
12,261.373,1.0479,1.19549,1.07309,0.45145,0.79766,0.49384,0.36003,0.99565,1.19881,1.05106,0.00106188,0.00106188,0.00106188
13,283.093,1.06043,1.18637,1.07482,0.45972,0.84688,0.49392,0.34675,1.03792,1.22311,1.06868,0.00100687,0.00100687,0.00100687
14,304.815,1.03332,1.19308,1.05821,0.45511,0.80975,0.46979,0.33698,0.98862,1.18102,1.05377,0.000951857,0.000951857,0.000951857
15,325.371,1.00872,1.15705,1.05122,0.47425,0.79542,0.51179,0.37345,1.02422,1.21144,1.04351,0.000896846,0.000896846,0.000896846
16,347.149,1.00666,1.14076,1.04955,0.44787,0.81841,0.47366,0.34469,0.96583,1.18849,1.04579,0.000841835,0.000841835,0.000841835
17,368.558,0.95452,1.11194,1.0354,0.44181,0.85266,0.48434,0.34461,1.02483,1.19341,1.0681,0.000786824,0.000786824,0.000786824
18,389.468,0.94964,1.06044,1.03036,0.44256,0.84113,0.46213,0.32337,1.01274,1.26677,1.05663,0.000731813,0.000731813,0.000731813
19,410.992,0.95609,1.06501,1.04248,0.4636,0.85205,0.47434,0.35079,0.96435,1.24226,1.03744,0.000676802,0.000676802,0.000676802
20,432.8,0.98365,1.06398,1.03782,0.45672,0.84192,0.46978,0.33817,0.98369,1.21767,1.05898,0.000621791,0.000621791,0.000621791
21,455.67,0.88417,0.99351,1.00779,0.43233,0.83688,0.45744,0.32357,1.01296,1.17688,1.0642,0.00056678,0.00056678,0.00056678
22,476.675,0.87313,0.97125,0.99013,0.42855,0.85013,0.44973,0.32296,0.97306,1.37706,1.05006,0.000511769,0.000511769,0.000511769
23,497.949,0.86545,0.96622,0.99372,0.43851,0.89409,0.45353,0.32288,0.96859,1.20875,1.03128,0.000456758,0.000456758,0.000456758
24,518.251,0.8374,0.94226,0.98319,0.45507,0.87714,0.46095,0.33295,1.00105,1.17207,1.04777,0.000401747,0.000401747,0.000401747
25,539.458,0.82642,0.87082,0.97317,0.44671,0.84337,0.4895,0.35459,0.95435,1.23821,1.04945,0.000346736,0.000346736,0.000346736
26,560.753,0.80364,0.87181,0.96636,0.43778,0.88834,0.44192,0.3183,0.95573,1.27535,1.04347,0.000291725,0.000291725,0.000291725
27,581.061,0.79782,0.83722,0.95327,0.45176,0.82038,0.4748,0.34302,0.97276,1.16666,1.03138,0.000236714,0.000236714,0.000236714
28,602.254,0.78857,0.80599,0.94985,0.44778,0.86285,0.48025,0.34686,0.95198,1.18166,1.02795,0.000181703,0.000181703,0.000181703
29,623.509,0.78617,0.80971,0.95729,0.44337,0.87285,0.47478,0.34442,0.96105,1.29797,1.03335,0.000126692,0.000126692,0.000126692
30,643.731,0.75938,0.76481,0.93903,0.45476,0.88597,0.51353,0.37689,0.94054,1.29064,1.03183,7.1681e-05,7.1681e-05,7.1681e-05
